episode,r,l,is_success,dead_loop_events,wall_collision_count
486.0,-215.6,256.0,0.0,216.0,45.0
487.0,-227.2,256.0,0.0,199.0,32.0
488.0,-192.39999999999998,256.0,0.0,219.0,56.0
489.0,-204.99999999999994,256.0,0.0,234.0,51.0
490.0,-194.80000000000004,256.0,0.0,214.0,49.0
491.0,-210.8,256.0,0.0,230.0,46.0
492.0,-204.60000000000002,256.0,0.0,224.0,55.0
493.0,-196.20000000000002,256.0,0.0,223.0,71.0
494.0,-210.39999999999998,256.0,0.0,234.0,46.0
495.0,-195.8,256.0,0.0,234.0,59.0
496.0,-206.8,256.0,0.0,202.0,36.0
497.0,-205.4,256.0,0.0,221.0,48.0
498.0,-185.79999999999998,256.0,0.0,234.0,69.0
499.0,-186.39999999999998,256.0,0.0,234.0,66.0
500.0,-211.8,256.0,0.0,206.0,55.0
501.0,-207.60000000000002,256.0,0.0,224.0,48.0
502.0,-202.60000000000002,256.0,0.0,206.0,51.0
503.0,-200.80000000000004,256.0,0.0,212.0,58.0
504.0,-223.00000000000003,256.0,0.0,225.0,47.0
505.0,-187.4,256.0,0.0,234.0,65.0
506.0,-207.0,256.0,0.0,232.0,55.0
